iter	Passed	Remaining
0	544	5447054
1	829	4144461
2	1110	3699495
3	1404	3510195
4	1690	3379207
5	1988	3312378
6	2277	3251519
7	2516	3142625
8	2787	3094255
9	3030	3027526
10	3260	2960510
11	3500	2913731
12	3766	2893308
13	3992	2848098
14	4247	2827516
15	4479	2795458
16	4726	2775779
17	4992	2768566
18	5240	2752705
19	5476	2732864
20	5736	2725932
21	5982	2713291
22	6220	2698146
23	6467	2688343
24	6727	2684381
25	6962	2671079
26	7195	2657837
27	7447	2652347
28	7722	2655239
29	7966	2647415
30	8210	2640387
31	8428	2625362
32	8696	2626479
33	8932	2618162
34	9163	2609116
35	9408	2604025
36	9678	2606228
37	9935	2604579
38	10200	2605293
39	10452	2602759
40	10707	2600924
41	10977	2602795
42	11205	2594809
43	11448	2590420
44	11721	2593000
45	11988	2594278
46	12234	2590912
47	12468	2585041
48	12706	2580513
49	12939	2574933
50	13175	2570321
51	13444	2571979
52	13705	2572284
53	13950	2569443
54	14194	2566601
55	14424	2561438
56	14655	2556529
57	14899	2553903
58	15120	2547602
59	15363	2545299
60	15571	2537170
61	15817	2535338
62	16056	2532621
63	16275	2526797
64	16510	2523634
65	16770	2524242
66	17032	2525090
67	17249	2519481
68	17492	2517649
69	17712	2512691
70	17965	2512342
71	18181	2507009
72	18416	2504371
73	18654	2502265
74	18911	2502569
75	19151	2500826
76	19373	2496671
77	19599	2493178
78	19858	2493862
79	20093	2491551
80	20312	2487421
81	20568	2487778
82	20774	2482236
83	21021	2481573
84	21243	2478006
85	21493	2477790
86	21719	2474769
87	21974	2475114
88	22187	2470789
89	22415	2468202
90	22658	2467314
91	22914	2467785
92	23147	2465788
93	23384	2464320
94	23630	2463786
95	23959	2471829
96	24178	2468443
97	24433	2468735
98	24643	2464596
99	24898	2464962
100	25185	2468390
101	25417	2466448
102	25661	2465707
103	25883	2462873
104	26142	2463584
105	26390	2463251
106	26608	2460121
107	26823	2456826
108	27096	2458836
109	27316	2456035
110	27534	2453069
111	27748	2449762
112	28016	2451301
113	28301	2454289
114	28653	2462939
115	28919	2464116
116	29185	2465265
117	29499	2470482
118	29787	2473370
119	30067	2475548
120	30371	2479643
121	30632	2480242
122	30853	2477571
123	31086	2475866
124	31334	2475414
125	31545	2472101
126	31764	2469350
127	32018	2469413
128	32388	2478338
129	32610	2475876
130	32968	2483710
131	33287	2488460
132	33566	2490193
133	33859	2492963
134	34087	2490912
135	34318	2489118
136	34523	2485419
137	34751	2483470
138	35084	2488980
139	35353	2489918
140	35639	2491966
141	35948	2495618
142	36187	2494440
143	36400	2491382
144	36635	2489980
145	36846	2486907
146	37048	2483241
147	37308	2483567
148	37584	2484844
149	37847	2485320
150	38069	2483075
151	38446	2490958
152	38819	2498385
153	39171	2504420
154	39512	2509682
155	39725	2506794
156	39975	2506215
157	40189	2503435
158	40394	2500136
159	40609	2497463
160	40832	2495344
161	41047	2492748
162	41272	2490779
163	41493	2488572
164	41709	2486123
165	41951	2485253
166	42157	2482266
167	42455	2484674
168	42805	2490059
169	43054	2489582
170	43268	2487060
171	43530	2487338
172	43807	2488406
173	44091	2489901
174	44387	2492045
175	44641	2491789
176	44848	2488989
